groupname;loginname;code;bookletname;unitname;originalUnitId;responses;laststate
"lfbt1";"44035-37-t1";"";"LKFB_T1_R6";"LFB101";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""text_1\"",\""status\"":\""DISPLAYED\"",\""value\"":[]}]"",""ts"":1737969591633,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737969591633,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""complete"",""RESPONSE_PROGRESS"":""complete""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"LFB101";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""text_1\"",\""status\"":\""DISPLAYED\"",\""value\"":[]}]"",""ts"":1737970053360,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737970053360,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""complete"",""RESPONSE_PROGRESS"":""complete""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"LFB111";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""intro_1\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""image_2\"",\""status\"":\""NOT_REACHED\"",\""value\"":false}]"",""ts"":1737970056372,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737970055371,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""none"",""RESPONSE_PROGRESS"":""complete""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"LFB125";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""LFB125\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""text_2\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB125_1\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""text_1\"",\""status\"":\""NOT_REACHED\"",\""value\"":[]},{\""id\"":\""LFB125_1a\"",\""status\"":\""NOT_REACHED\"",\""value\"":null},{\""id\"":\""LFB125_2\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_2a\"",\""status\"":\""NOT_REACHED\"",\""value\"":null},{\""id\"":\""LFB125_3\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_4\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_5\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_6\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_7\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_8\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_8a\"",\""status\"":\""NOT_REACHED\"",\""value\"":null},{\""id\"":\""text_3\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""text_4\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB125_9\"",\""status\"":\""DISPLAYED\"",\""value\"":false}]"",""ts"":1737970057374,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737970057374,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"LFB125";"";"[]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""none"",""RESPONSE_PROGRESS"":""complete""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"LFB121_4";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""text_1\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB121\"",\""status\"":\""VALUE_CHANGED\"",\""value\"":1},{\""id\"":\""text_2\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB122\"",\""status\"":\""VALUE_CHANGED\"",\""value\"":\""42\""},{\""id\"":\""cloze_1\"",\""status\"":\""DISPLAYED\"",\""value\"":null},{\""id\"":\""text_3\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB123\"",\""status\"":\""DISPLAYED\"",\""value\"":null},{\""id\"":\""text_4\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB124\"",\""status\"":\""DISPLAYED\"",\""value\"":null},{\""id\"":\""cloze_2\"",\""status\"":\""DISPLAYED\"",\""value\"":null}]"",""ts"":1737970581726,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737970066419,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""complete"",""RESPONSE_PROGRESS"":""complete""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"LFB126";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""intro_1\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""01a\"",\""status\"":\""DISPLAYED\"",\""value\"":null},{\""id\"":\""01b\"",\""status\"":\""DISPLAYED\"",\""value\"":null},{\""id\"":\""01c\"",\""status\"":\""DISPLAYED\"",\""value\"":null},{\""id\"":\""LFB126\"",\""status\"":\""DISPLAYED\"",\""value\"":null}]"",""ts"":1737970557600,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737970557600,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""complete"",""RESPONSE_PROGRESS"":""complete""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"Ende";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""text_1\"",\""status\"":\""DISPLAYED\"",\""value\"":[]}]"",""ts"":1737970561609,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737970561609,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""complete"",""RESPONSE_PROGRESS"":""complete""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"LFB101";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""text_1\"",\""status\"":\""DISPLAYED\"",\""value\"":[]}]"",""ts"":1737969700261,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737969699260,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""complete"",""RESPONSE_PROGRESS"":""complete""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"LFB111";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""intro_1\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""image_2\"",\""status\"":\""DISPLAYED\"",\""value\"":false}]"",""ts"":1737969736713,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737969709301,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""complete"",""RESPONSE_PROGRESS"":""complete""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"LFB121_4";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""text_1\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB121\"",\""status\"":\""VALUE_CHANGED\"",\""value\"":1},{\""id\"":\""text_2\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB122\"",\""status\"":\""VALUE_CHANGED\"",\""value\"":\""42\""},{\""id\"":\""cloze_1\"",\""status\"":\""DISPLAYED\"",\""value\"":null},{\""id\"":\""text_3\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB123\"",\""status\"":\""VALUE_CHANGED\"",\""value\"":2},{\""id\"":\""text_4\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB124\"",\""status\"":\""VALUE_CHANGED\"",\""value\"":\""0\""},{\""id\"":\""cloze_2\"",\""status\"":\""DISPLAYED\"",\""value\"":null}]"",""ts"":1737969844305,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737969821120,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""complete"",""RESPONSE_PROGRESS"":""complete""}"
"lfbt1";"1479-24-t1";"";"LKFB_T1_R1";"LFB125";"";"[{""id"":""elementCodes"",""content"":""[{\""id\"":\""LFB125\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""text_2\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB125_1\"",\""status\"":\""VALUE_CHANGED\"",\""value\"":true},{\""id\"":\""text_1\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB125_1a\"",\""status\"":\""VALUE_CHANGED\"",\""value\"":3},{\""id\"":\""LFB125_2\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_2a\"",\""status\"":\""NOT_REACHED\"",\""value\"":null},{\""id\"":\""LFB125_3\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_4\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_5\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_6\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_7\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_8\"",\""status\"":\""DISPLAYED\"",\""value\"":false},{\""id\"":\""LFB125_8a\"",\""status\"":\""NOT_REACHED\"",\""value\"":null},{\""id\"":\""text_3\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""text_4\"",\""status\"":\""DISPLAYED\"",\""value\"":[]},{\""id\"":\""LFB125_9\"",\""status\"":\""DISPLAYED\"",\""value\"":false}]"",""ts"":1737969888640,""responseType"":""iqb-standard@1.0""},{""id"":""stateVariableCodes"",""content"":""[]"",""ts"":1737969847313,""responseType"":""iqb-standard@1.0""}]";"{""PLAYER"":""RUNNING"",""PRESENTATION_PROGRESS"":""complete"",""RESPONSE_PROGRESS"":""complete""}"
